Year,Event,Full_Text,Sentiment_Score,Category
2017,"^Vitali, Ali (February 23, 2017).""White House Staffers Dismissed, Failed Background Checks"".NBC News.Archivedfrom the original on February 24, 2017. RetrievedFebruary 24,2017....","^Vitali, Ali (February 23, 2017).""White House Staffers Dismissed, Failed Background Checks"".NBC News.Archivedfrom the original on February 24, 2017. RetrievedFebruary 24,2017.",-0.041666666666666664,Neutral
2017,"^Disis, Jill (February 23, 2017).""Trump meets with top US manufacturers | CNN Business"".CNN.Archivedfrom the original on December 11, 2025. RetrievedNovember 22,2025....","^Disis, Jill (February 23, 2017).""Trump meets with top US manufacturers | CNN Business"".CNN.Archivedfrom the original on December 11, 2025. RetrievedNovember 22,2025.",0.4375,Positive
2017,"^Harris, Gardiner (February 22, 2017).""Rex Tillerson Arrives in Mexico Facing Twin Threats to Relations"".The New York Times.Archivedfrom the original on February 23, 2017. RetrievedFebruary 23,2017....","^Harris, Gardiner (February 22, 2017).""Rex Tillerson Arrives in Mexico Facing Twin Threats to Relations"".The New York Times.Archivedfrom the original on February 23, 2017. RetrievedFebruary 23,2017.",0.2556818181818182,Positive
2017,"^""Public Schedule: February 22, 2017"".US Department of State. February 22, 2017. Archived fromthe originalon March 25, 2017....","^""Public Schedule: February 22, 2017"".US Department of State. February 22, 2017. Archived fromthe originalon March 25, 2017.",0.0,Neutral
2017,"^""Trump Rescinds Rules on Bathrooms for Transgender Students"".The New York Times. February 22, 2017.Archivedfrom the original on March 15, 2017. RetrievedMarch 16,2017....","^""Trump Rescinds Rules on Bathrooms for Transgender Students"".The New York Times. February 22, 2017.Archivedfrom the original on March 15, 2017. RetrievedMarch 16,2017.",0.2556818181818182,Positive
2017,"^""Kuwait could pay up to $60,000 for party at Trump Hotel in Washington"".Reuters. February 27, 2017.Archivedfrom the original on March 14, 2025. RetrievedSeptember 7,2020....","^""Kuwait could pay up to $60,000 for party at Trump Hotel in Washington"".Reuters. February 27, 2017.Archivedfrom the original on March 14, 2025. RetrievedSeptember 7,2020.",0.375,Positive
2017,"^""Trump Enforcement Plan Has Immigrants Bracing for Raids, Deportations"".NBC News. February 21, 2017.Archivedfrom the original on May 4, 2017....","^""Trump Enforcement Plan Has Immigrants Bracing for Raids, Deportations"".NBC News. February 21, 2017.Archivedfrom the original on May 4, 2017.",0.375,Positive
2017,"^McGeogh, Paul (February 22, 2017).""Donald Trump has a new deportation army, but claims there will be no mass round-ups"".The Sydney Morning Herald.Archivedfrom the original on February 22, 2017. Retri...","^McGeogh, Paul (February 22, 2017).""Donald Trump has a new deportation army, but claims there will be no mass round-ups"".The Sydney Morning Herald.Archivedfrom the original on February 22, 2017. RetrievedFebruary 21,2017.",0.2556818181818182,Positive
2017,"^Klein, Asher (February 21, 2017).""Trump Calls JCC Threats 'Horrible and Painful' After Clinton Latest to Call Him Out for Silence"".New England Cable News.Archivedfrom the original on February 22, 201...","^Klein, Asher (February 21, 2017).""Trump Calls JCC Threats 'Horrible and Painful' After Clinton Latest to Call Him Out for Silence"".New England Cable News.Archivedfrom the original on February 22, 2017. RetrievedFebruary 21,2017.",-0.20625,Negative
2017,"^Lipton, Eric; Meier, Barry (August 6, 2017).""Under Trump, Coal Mining Gets New Life on U.S. Lands"".The New York Times.ISSN0362-4331.Archivedfrom the original on September 24, 2025. RetrievedSeptember...","^Lipton, Eric; Meier, Barry (August 6, 2017).""Under Trump, Coal Mining Gets New Life on U.S. Lands"".The New York Times.ISSN0362-4331.Archivedfrom the original on September 24, 2025. RetrievedSeptember 7,2020.",0.2159090909090909,Positive
2017,"^""Trump om Løkke: En vidunderlig mand, som udfører et vidunderligt stykke arbejde"".Danish Broadcasting Corporation. March 30, 2017.Archivedfrom the original on March 30, 2017. RetrievedMarch 30,2017....","^""Trump om Løkke: En vidunderlig mand, som udfører et vidunderligt stykke arbejde"".Danish Broadcasting Corporation. March 30, 2017.Archivedfrom the original on March 30, 2017. RetrievedMarch 30,2017.",0.375,Positive
2017,"^Lawler, David (February 20, 2017).""Donald Trump selects Lt General HR McMaster to fill national security adviser vacancy"".The Daily Telegraph.Archivedfrom the original on February 20, 2017. Retrieved...","^Lawler, David (February 20, 2017).""Donald Trump selects Lt General HR McMaster to fill national security adviser vacancy"".The Daily Telegraph.Archivedfrom the original on February 20, 2017. RetrievedFebruary 20,2017.",0.1416666666666667,Positive
2017,"^Rampell, Catherine (February 20, 2017).""Opinion | The Trump White House is already cooking the books"".The Washington Post.ISSN0190-8286.Archivedfrom the original on December 21, 2022. RetrievedSeptem...","^Rampell, Catherine (February 20, 2017).""Opinion | The Trump White House is already cooking the books"".The Washington Post.ISSN0190-8286.Archivedfrom the original on December 21, 2022. RetrievedSeptember 7,2020.",0.1875,Positive
2017,"^""Remarks by the Vice President at the Munich Security Conference"".whitehouse.gov. February 18, 2017.Archivedfrom the original on March 27, 2025 – viaNational Archives....","^""Remarks by the Vice President at the Munich Security Conference"".whitehouse.gov. February 18, 2017.Archivedfrom the original on March 27, 2025 – viaNational Archives.",0.375,Positive
2017,"^Merica, Dan (February 18, 2017).""President Trump holds campaign rally in Melbourne, Florida"".CNN.Archivedfrom the original on February 19, 2017. RetrievedFebruary 18,2017....","^Merica, Dan (February 18, 2017).""President Trump holds campaign rally in Melbourne, Florida"".CNN.Archivedfrom the original on February 19, 2017. RetrievedFebruary 18,2017.",0.375,Positive
2017,"^Hirschfield Davis, Julie (February 24, 2017).""Trump Intensifies His Attacks on Journalists and Condemns F.B.I. 'Leakers'"".The New York Times.Archivedfrom the original on February 25, 2017. RetrievedF...","^Hirschfield Davis, Julie (February 24, 2017).""Trump Intensifies His Attacks on Journalists and Condemns F.B.I. 'Leakers'"".The New York Times.Archivedfrom the original on February 25, 2017. RetrievedFebruary 25,2017.",0.2556818181818182,Positive
2017,"^""President Donald J. Trump Proclaims March 2017 as Women's History Month"".whitehouse.gov.Washington, D.C.March 1, 2017.Archivedfrom the original on August 3, 2025. RetrievedMarch 6,2017– viaNational ...","^""President Donald J. Trump Proclaims March 2017 as Women's History Month"".whitehouse.gov.Washington, D.C.March 1, 2017.Archivedfrom the original on August 3, 2025. RetrievedMarch 6,2017– viaNational Archives.",0.375,Positive
2017,"^""Enforcing the Regulatory Reform Agenda"".Federal Register. February 24, 2017.Archivedfrom the original on September 27, 2025....","^""Enforcing the Regulatory Reform Agenda"".Federal Register. February 24, 2017.Archivedfrom the original on September 27, 2025.",0.375,Positive
2017,"^Fabian, Jordan (February 25, 2017).""Trump talks Obamacare over lunch with Walker, Scott"".The Hill.Archivedfrom the original on February 26, 2017. RetrievedFebruary 25,2017....","^Fabian, Jordan (February 25, 2017).""Trump talks Obamacare over lunch with Walker, Scott"".The Hill.Archivedfrom the original on February 26, 2017. RetrievedFebruary 25,2017.",0.375,Positive
2017,"^Entous, Adam; Nakashima, Ellen; Miller, Greg (March 1, 2017).""Sessions met with Russian envoy twice last year, encounters he later did not disclose"".The Washington Post.Archivedfrom the original on M...","^Entous, Adam; Nakashima, Ellen; Miller, Greg (March 1, 2017).""Sessions met with Russian envoy twice last year, encounters he later did not disclose"".The Washington Post.Archivedfrom the original on March 2, 2017. RetrievedMarch 2,2017.",0.09375,Positive
2017,"^""Intelligence Committee Chairman, Ranking Member Establish Parameters for Russia Investigation"".House Intelligence Committee. March 1, 2017.Archivedfrom the original on March 22, 2017. RetrievedMarch...","^""Intelligence Committee Chairman, Ranking Member Establish Parameters for Russia Investigation"".House Intelligence Committee. March 1, 2017.Archivedfrom the original on March 22, 2017. RetrievedMarch 23,2017.",0.375,Positive
2017,"^Turkewitz, Julie (March 1, 2017).""He Will Soon Run a Fifth of the Nation. Meet Ryan Zinke"".The New York Times.Archivedfrom the original on March 2, 2017. RetrievedMarch 2,2017....","^Turkewitz, Julie (March 1, 2017).""He Will Soon Run a Fifth of the Nation. Meet Ryan Zinke"".The New York Times.Archivedfrom the original on March 2, 2017. RetrievedMarch 2,2017.",0.2556818181818182,Positive
2017,"^Zeleny, Jeff; Diaz, Daniella (February 27, 2017).""Sources: Trump signed off on checking White House staffers' phones"".CNN.Archivedfrom the original on August 8, 2025. RetrievedSeptember 7,2020....","^Zeleny, Jeff; Diaz, Daniella (February 27, 2017).""Sources: Trump signed off on checking White House staffers' phones"".CNN.Archivedfrom the original on August 8, 2025. RetrievedSeptember 7,2020.",0.1875,Positive
2017,"^""Public Schedule: February 28, 2017"".US Department of State. February 28, 2017. Archived fromthe originalon March 25, 2017....","^""Public Schedule: February 28, 2017"".US Department of State. February 28, 2017. Archived fromthe originalon March 25, 2017.",0.0,Neutral
2017,"^""Trump Signs Bill Revoking Obama-Era Gun Checks for People With Mental Illnesses"".NBC News. February 28, 2017.Archivedfrom the original on October 3, 2017....","^""Trump Signs Bill Revoking Obama-Era Gun Checks for People With Mental Illnesses"".NBC News. February 28, 2017.Archivedfrom the original on October 3, 2017.",0.1375,Positive
2017,"^""White House Initiative To Promote Excellence and Innovation at Historically Black Colleges and Universities"".Federal Register. February 28, 2017.Archivedfrom the original on September 7, 2025....","^""White House Initiative To Promote Excellence and Innovation at Historically Black Colleges and Universities"".Federal Register. February 28, 2017.Archivedfrom the original on September 7, 2025.",0.06944444444444445,Positive
2017,"^""Restoring the Rule of Law, Federalism, and Economic Growth by Reviewing the ""Waters of the United States"" Rule"".Federal Register. February 28, 2017.Archivedfrom the original on September 21, 2025....","^""Restoring the Rule of Law, Federalism, and Economic Growth by Reviewing the ""Waters of the United States"" Rule"".Federal Register. February 28, 2017.Archivedfrom the original on September 21, 2025.",0.2875,Positive
2017,"^Hirschfield Davis, Julie; Shear, Michael; Baker, Peter (February 28, 2017).""Trump, in Optimistic Address, Asks Congress to End 'Trivial Fights'"".The New York Times.Archivedfrom the original on March ...","^Hirschfield Davis, Julie; Shear, Michael; Baker, Peter (February 28, 2017).""Trump, in Optimistic Address, Asks Congress to End 'Trivial Fights'"".The New York Times.Archivedfrom the original on March 1, 2017. RetrievedMarch 1,2017.",0.2556818181818182,Positive
2017,"^Graham, Chris; Crilly, Rob; Henderson, Barney (February 28, 2017).""Donald Trump addresses Congress for first time and is expected to call for overhaul of US health care system"".The Daily Telegraph.Ar...","^Graham, Chris; Crilly, Rob; Henderson, Barney (February 28, 2017).""Donald Trump addresses Congress for first time and is expected to call for overhaul of US health care system"".The Daily Telegraph.Archivedfrom the original on March 1, 2017. RetrievedMarch 1,2017.",0.13125,Positive
2017,"^Laughland, Oliver (March 9, 2017).""Washington state to challenge Trump travel ban as legal opposition mounts"".The Guardian.Archivedfrom the original on March 10, 2017. RetrievedMarch 10,2017....","^Laughland, Oliver (March 9, 2017).""Washington state to challenge Trump travel ban as legal opposition mounts"".The Guardian.Archivedfrom the original on March 10, 2017. RetrievedMarch 10,2017.",0.2875,Positive
2017,"^""Wilbur Ross sworn in as secretary of commerce"".Reuters. February 28, 2017.Archivedfrom the original on July 2, 2023. RetrievedFebruary 29,2020....","^""Wilbur Ross sworn in as secretary of commerce"".Reuters. February 28, 2017.Archivedfrom the original on July 2, 2023. RetrievedFebruary 29,2020.",0.375,Positive
2017,"^""Public Schedule: February 27, 2017"".US Department of State. February 27, 2017. Archived fromthe originalon March 25, 2017....","^""Public Schedule: February 27, 2017"".US Department of State. February 27, 2017. Archived fromthe originalon March 25, 2017.",0.0,Neutral
2017,"^Katkov, Mark (February 28, 2017).""Wilbur Ross Is Confirmed As Commerce Secretary"".NPR.Archivedfrom the original on September 23, 2025. RetrievedNovember 22,2025....","^Katkov, Mark (February 28, 2017).""Wilbur Ross Is Confirmed As Commerce Secretary"".NPR.Archivedfrom the original on September 23, 2025. RetrievedNovember 22,2025.",0.3875,Positive
2017,"^Ollstein, Alice (February 27, 2017).""The Sessions Effect: Trump DOJ Reverses Course In Major Texas Voter ID Case"".Talking Points Memo.Archivedfrom the original on August 5, 2025. RetrievedSeptember 7...","^Ollstein, Alice (February 27, 2017).""The Sessions Effect: Trump DOJ Reverses Course In Major Texas Voter ID Case"".Talking Points Memo.Archivedfrom the original on August 5, 2025. RetrievedSeptember 7,2020.",0.21875,Positive
